abc1,abc2,abc3,abc4,Date,SI,OI
-0.200163253,-0.221479428,-0.237884961,-0.245068885,23/10/2007,-0.0159202,-0.081221
0.021698845,0.021266297,0.020479815,0.019624009,30/10/2007,0.015235718,0.040042
0.040412806,0.041736906,0.043262464,0.04451928,6/11/2007,0.013168164,0.065248
-0.050800301,-0.052697045,-0.05387161,-0.054746092,13/11/2007,-0.051057373,-0.0682
0.121369483,0.126167573,0.127276314,0.126150479,20/11/2007,0.017237171,-0.047178
-0.190355732,-0.194006131,-0.19442234,-0.194490928,27/11/2007,0.007003327,0.006444
0.018832726,0.016728696,0.016174086,0.016445868,4/12/2007,-0.007024875,-0.021902
-0.100722052,-0.092913446,-0.086250589,-0.079134952,11/12/2007,0.002832918,-0.001619
0.015807188,0.017919245,0.019243632,0.02044094,18/12/2007,-0.005696718,-0.050657
-0.002410907,0.002449887,-0.000585902,-0.002082371,25/12/2007,0.014638691,-0.004499
0.112033148,0.110349538,0.0975762,0.088884688,1/01/2008,0.027913696,0.035507
-0.029716587,-0.031247091,-0.031047212,-0.031564827,8/01/2008,0.004273568,0.052698
-0.012696504,-0.020548054,-0.023051319,-0.029825368,15/01/2008,-0.007724089,0.044116
0.03493002,0.033016426,0.033702935,0.034714159,22/01/2008,-0.036829706,-0.114905
0.105210097,0.123301181,0.13454846,0.142360742,29/01/2008,-0.008484292,0.02264
0.035480072,0.042817723,0.048950635,0.05328758,5/02/2008,-0.000404422,0.002717
0.03825337,0.033814753,0.032987272,0.032616104,12/02/2008,0.007441918,0.024511
0.015449234,0.012261169,0.011140143,0.010347874,19/02/2008,0.018066855,-0.0379
-0.023282092,-0.025623733,-0.026111273,-0.026646955,26/02/2008,0.020202629,0.050787
0.013878322,0.009837864,0.009422776,0.009548847,4/03/2008,0.009405419,0.045034
0.053470981,0.059031539,0.062053727,0.061774733,11/03/2008,0.007228653,0.033461
